source,manufacturer,device_type,confidence,mac_address,ip_address,device_role,port,network_protocol,transport_protocol,application_protocol,oui
AdaptiveTree,Siemens,S7-1212,0.051,82:e1:99:ba:b5:0a,192.168.1.190,,,,,,
RAT,,,1.0,82:e1:99:ba:b5:0a,192.168.1.190,Gateway,,,,,
AssetDiscovery,,,1.000,82:e1:99:ba:b5:0a,192.168.1.190,,,,,,
AssetDiscovery,,,1.000,,192.168.1.190,,514.0,ipv4,udp,syslog,
AdaptiveTree,Siemens,S7-1212,0.047,ca:95:f4:88:cd:5b,192.168.10.60,,,,,,
RAT,,,0.674,ca:95:f4:88:cd:5b,192.168.10.60,Gateway,,,,,
AssetDiscovery,,,1.000,ca:95:f4:88:cd:5b,192.168.10.60,,,,,,
MacDetect,,,0.0,18:db:f2:38:71:39,192.168.10.66,,,,,,Dell Inc.
NeDClass,,,0.3,18:db:f2:38:71:39,192.168.10.66,Switch,,,,,
AdaptiveTree,Siemens,S7-1212,0.047,18:db:f2:38:71:39,192.168.10.66,,,,,,
RAT,,,0.462,18:db:f2:38:71:39,192.168.10.66,Controller,,,,,
AssetDiscovery,,,1.000,18:db:f2:38:71:39,192.168.10.66,,,,,,
MacDetect,Siemens AG,S7-1512,1.0,e0:dc:a0:4a:ba:8e,192.168.10.12,,,,,,Siemens Industrial Automation Products Ltd Chengdu
NeDClass,,,0.322,e0:dc:a0:4a:ba:8e,192.168.10.12,Controller,,,,,
RAT,,,1.0,e0:dc:a0:4a:ba:8e,192.168.10.12,HMI,,,,,
AdaptiveTree,Siemens,S7-1212,0.049,e0:dc:a0:4a:ba:8e,192.168.10.12,,,,,,
AdaptiveTree,JVL Industri Elektronik,JVL-MOTOR,0.5,e0:dc:a0:4a:ba:8e,192.168.10.12,,,,,,
AdaptiveTreeNTP,Siemens,S7-300,0.197,e0:dc:a0:4a:ba:8e,192.168.10.12,,,,,,
AssetDiscovery,,,1.000,e0:dc:a0:4a:ba:8e,192.168.10.12,,,,,,
AssetDiscovery,,,1.000,,192.168.10.12,,34964.0,ipv4,udp,profinet,
AssetDiscovery,,,1.000,,192.168.10.12,,49153.0,ipv4,udp,False,
AssetDiscovery,,,1.000,,192.168.10.12,,49157.0,ipv4,udp,False,
AssetDiscovery,,,1.000,,192.168.10.12,,102.0,ipv4,tcp,s7comm,
MacDetect,WAGO Kontakttechnik GmbH,750-375,1.0,00:30:de:43:b5:7b,192.168.10.22,,,,,,WAGO Kontakttechnik GmbH
NeDClass,,,0.302,00:30:de:43:b5:7b,192.168.10.22,IODevice,,,,,
AdaptiveTree,Siemens,S7-1212,0.125,00:30:de:43:b5:7b,192.168.10.22,,,,,,
RAT,,,1.0,00:30:de:43:b5:7b,192.168.10.22,IO,,,,,
AssetDiscovery,,,1.000,00:30:de:43:b5:7b,192.168.10.22,,,,,,
AssetDiscovery,,,1.000,,192.168.10.22,,49152.0,ipv4,udp,False,
AssetDiscovery,,,1.000,,192.168.10.22,,49153.0,ipv4,udp,False,
